#  CREATED = Jan 27 1998 
#  CONTACT = R. Diaz
#  DESCRIPT= Initial delivery of Gleise 229B source model (Angst vs FLAM)
#  MAPKEY  = Brown Dwarf
#  FILE_TYP= Brown Dwarf (Gleise 229B) Source Model Spectrum (Angstroms vs erg/s/cm^2/A)
#  SYSTEMS = PYETC
#  REASON  = Initial delivery to ETC database
#  HISTORY
#  HISTORY  This file was part of the ETC 18.0 or earlier software. This file is
#  HISTORY  being delivered to CDBS for the purposes of quality control and to
#  HISTORY  address the future needs of ETC 19.0 (PYETC). This file has been
#  HISOTRY  been validated and found to be representative of the spectra for
#  HISTORY  a brown dwarf.

#  Digital form of the spectrum of Gliese 229B.  This data is presented in
#  the paper entitled "The Spectrum of Gliese 229B" by B. R. Oppenheimer,
#  S. R. Kulkarni, K. Matthews and M. H. van Kerkwijk (1998, ApJ, in press).
#   
#  Please contact Ben R. Oppenheimer before using this data in any
#  publication or presentation.
#   
#  Ben R. Oppenheimer
#  January 27, 1998
#   
#  105-24 California Institute of Technology
#  Pasadena, CA 91125
#  (626) 395-4987
#  fax: (626) 568-9352
#  e-mail: bro@astro.caltech.edu
#   
#  The first column is wavelength in microns.  The second column is flux
#  density in millijanskies.  Gaps exist in the data in the following
#  ranges, where telluric absorption prohibits a measurement (all
#  wavelengths are given in microns): [1.1236, 1.1561], [1.3333, 1.3986],
#  [1.9231, 2.0000], [2.5317, 2.9840] and [4.1667, 4.5455].  In addition,
#  the resolution is much higher in the wavelength range 0.837 to 1.0
#  micron.  The paper contains complete descriptions of the data
#  collection and reduction techniques.
#
#
# Units converted from Ben's micron/mJy table from his web page
# using stsci.edu:/home/anands/rc/src/etc/nicmosc/inr/gl229b.c. 
#
#						anands@stsci.edu
#   
# Wavelength     Flux: Synphot's flam
#  A             erg s-1 cm-2 A-1
8.658740e+03     7.060783e-20
8.661300e+03     6.871982e-20
8.663890e+03     6.952145e-20
8.667000e+03     7.088040e-20
8.669620e+03     7.500565e-20
8.672250e+03     6.325275e-20
8.674870e+03     6.231023e-20
8.677490e+03     6.652869e-20
8.680110e+03     7.505127e-20
8.682780e+03     6.841603e-20
8.686380e+03     7.087835e-20
8.688930e+03     6.836686e-20
8.691500e+03     7.382287e-20
8.694060e+03     7.911395e-20
8.697170e+03     7.458670e-20
8.699810e+03     7.414138e-20
8.702430e+03     7.762780e-20
8.705060e+03     7.028569e-20
8.707690e+03     7.524479e-20
8.710300e+03     7.634562e-20
8.712950e+03     7.321500e-20
8.716570e+03     8.066296e-20
8.719140e+03     8.499656e-20
8.721700e+03     9.206431e-20
8.724260e+03     8.091864e-20
8.727370e+03     7.455552e-20
8.730010e+03     7.366078e-20
8.732630e+03     7.546820e-20
8.735270e+03     8.139841e-20
8.737890e+03     8.857832e-20
8.740510e+03     8.251733e-20
8.743160e+03     8.829117e-20
8.746780e+03     9.288117e-20
8.749340e+03     8.771612e-20
8.751900e+03     8.525382e-20
8.754460e+03     8.800472e-20
8.757570e+03     8.415060e-20
8.760220e+03     9.160023e-20
8.762850e+03     1.009387e-19
8.765480e+03     9.762792e-20
8.768100e+03     8.211973e-20
8.770750e+03     9.713261e-20
8.773400e+03     8.210234e-20
8.776990e+03     9.047998e-20
8.779550e+03     9.953218e-20
8.782110e+03     9.631785e-20
8.784720e+03     8.862706e-20
8.787830e+03     8.827319e-20
8.790450e+03     9.193734e-20
8.793080e+03     8.915267e-20
8.795700e+03     9.953126e-20
8.798350e+03     9.705473e-20
8.801000e+03     9.788261e-20
8.803620e+03     1.034022e-19
8.807200e+03     1.006513e-19
8.809760e+03     1.030495e-19
8.812380e+03     1.030500e-19
8.814970e+03     1.062766e-19
8.818060e+03     9.142420e-20
8.820690e+03     9.286471e-20
8.823310e+03     1.049513e-19
8.825960e+03     1.138246e-19
8.828610e+03     9.922908e-20
8.831230e+03     1.035754e-19
8.834860e+03     1.107724e-19
8.837440e+03     1.034798e-19
8.840040e+03     1.126107e-19
8.842620e+03     1.171995e-19
8.845180e+03     1.141275e-19
8.848300e+03     1.159846e-19
8.850930e+03     1.102749e-19
8.853600e+03     1.107247e-19
8.856230e+03     1.140952e-19
8.858850e+03     1.058147e-19
8.861490e+03     1.190527e-19
8.864110e+03     1.076694e-19
8.867720e+03     1.111882e-19
8.870280e+03     1.173423e-19
8.872850e+03     1.136339e-19
8.875920e+03     1.151193e-19
8.878570e+03     1.173743e-19
8.881230e+03     1.100216e-19
8.883860e+03     1.032559e-19
8.886480e+03     1.137297e-19
8.889110e+03     1.151194e-19
8.891740e+03     1.310603e-19
8.895380e+03     1.263460e-19
8.897950e+03     1.262011e-19
8.900510e+03     1.180451e-19
8.903080e+03     1.162070e-19
8.906210e+03     1.129770e-19
8.908850e+03     1.134237e-19
8.911490e+03     1.121636e-19
8.914120e+03     1.184471e-19
8.916740e+03     1.177101e-19
8.919390e+03     1.043756e-19
8.923050e+03     1.065679e-19
8.925620e+03     1.057013e-19
8.928180e+03     1.050953e-19
8.930740e+03     1.145298e-19
8.933840e+03     1.111712e-19
8.936490e+03     1.108687e-19
8.939120e+03     9.180851e-20
8.941750e+03     6.027729e-20
8.944380e+03     4.707003e-20
8.947010e+03     9.431692e-20
8.949690e+03     1.067729e-19
8.953280e+03     1.122110e-19
8.955850e+03     1.290449e-19
8.958410e+03     1.340814e-19
8.960980e+03     1.301330e-19
8.964130e+03     1.079103e-19
8.966760e+03     1.277355e-19
8.969400e+03     1.233079e-19
8.972030e+03     1.124166e-19
8.974660e+03     1.285976e-19
8.977280e+03     1.530292e-19
8.980960e+03     1.322456e-19
8.983520e+03     1.414051e-19
8.986090e+03     1.344818e-19
8.988650e+03     1.280863e-19
8.991730e+03     1.347211e-19
8.994390e+03     1.584176e-19
8.997040e+03     1.462172e-19
8.999680e+03     1.333172e-19
9.002300e+03     1.414557e-19
9.004940e+03     1.392321e-19
9.007560e+03     1.417117e-19
9.011180e+03     1.659648e-19
9.013760e+03     1.575087e-19
9.016330e+03     1.575074e-19
9.018890e+03     1.648446e-19
9.022010e+03     1.602077e-19
9.024650e+03     1.552993e-19
9.027300e+03     1.675652e-19
9.029960e+03     1.598081e-19
9.032590e+03     1.618095e-19
9.035220e+03     1.680428e-19
9.038800e+03     1.816334e-19
9.041360e+03     1.813142e-19
9.043930e+03     1.822740e-19
9.046520e+03     1.790743e-19
9.049680e+03     1.902679e-19
9.052310e+03     1.845123e-19
9.054930e+03     1.715607e-19
9.057560e+03     1.864326e-19
9.060190e+03     1.840345e-19
9.062830e+03     1.682030e-19
9.066430e+03     1.873918e-19
9.069030e+03     1.827537e-19
9.071610e+03     1.736407e-19
9.074180e+03     1.854699e-19
9.077280e+03     1.813155e-19
9.079920e+03     1.737994e-19
9.082540e+03     1.833915e-19
9.085180e+03     1.825948e-19
9.087810e+03     1.758790e-19
9.090470e+03     2.041784e-19
9.094070e+03     1.891508e-19
9.096650e+03     1.950648e-19
9.099220e+03     1.987421e-19
9.101780e+03     2.164892e-19
9.104900e+03     1.817939e-19
9.107530e+03     1.741207e-19
9.110160e+03     2.033799e-19
9.112800e+03     2.212872e-19
9.115420e+03     2.043395e-19
9.118080e+03     1.942644e-19
9.121660e+03     2.248029e-19
9.124250e+03     2.316793e-19
9.126830e+03     2.139313e-19
9.129390e+03     1.918662e-19
9.132510e+03     1.947437e-19
9.135150e+03     1.854704e-19
9.137780e+03     1.965046e-19
9.140410e+03     2.248038e-19
9.143050e+03     2.240033e-19
9.146660e+03     2.438327e-19
9.149230e+03     2.310391e-19
9.151790e+03     2.011401e-19
9.154360e+03     1.977825e-19
9.157480e+03     2.105747e-19
9.160110e+03     2.276823e-19
9.162740e+03     2.201671e-19
9.165380e+03     2.270422e-19
9.168000e+03     2.236846e-19
9.170670e+03     2.076952e-19
9.174270e+03     1.889891e-19
9.176840e+03     2.188894e-19
9.179410e+03     2.296006e-19
9.181970e+03     2.431913e-19
9.185080e+03     2.248043e-19
9.187700e+03     2.340768e-19
9.190340e+03     2.452686e-19
9.192970e+03     2.230458e-19
9.195600e+03     2.033797e-19
9.198240e+03     2.380762e-19
9.201810e+03     2.951568e-19
9.204380e+03     2.842842e-19
9.206940e+03     2.604590e-19
9.210020e+03     2.558245e-19
9.212640e+03     2.556614e-19
9.215280e+03     2.513457e-19
9.217910e+03     2.420713e-19
9.220540e+03     2.788456e-19
9.223170e+03     2.818865e-19
9.226780e+03     3.058689e-19
9.229320e+03     2.943572e-19
9.231870e+03     2.839620e-19
9.234440e+03     2.818844e-19
9.237560e+03     2.345571e-19
9.240190e+03     2.219271e-19
9.242830e+03     2.580612e-19
9.245460e+03     2.537443e-19
9.248060e+03     2.537453e-19
9.251670e+03     2.729303e-19
9.254240e+03     2.714905e-19
9.256810e+03     2.569429e-19
9.259370e+03     2.371145e-19
9.262480e+03     1.777959e-19
9.265110e+03     1.848334e-19
9.267740e+03     1.902678e-19
9.270370e+03     1.742806e-19
9.273010e+03     1.236911e-19
9.276610e+03     8.806822e-20
9.279170e+03     6.499456e-20
9.281720e+03     8.008936e-20
9.284270e+03     9.294514e-20
9.287370e+03     8.953954e-20
9.290000e+03     8.322233e-20
9.292640e+03     9.374292e-20
9.295270e+03     9.439771e-20
9.297900e+03     1.082605e-19
9.301500e+03     1.136966e-19
9.304050e+03     1.443944e-19
9.306600e+03     1.425742e-19
9.309160e+03     1.436616e-19
9.312260e+03     1.733212e-19
9.314890e+03     1.204599e-19
9.317500e+03     1.053986e-19
9.320130e+03     1.081485e-19
9.322760e+03     7.562604e-20
9.326360e+03     1.306933e-19
9.328930e+03     1.656440e-19
9.331490e+03     1.690029e-19
9.334040e+03     1.206509e-19
9.337120e+03     8.923439e-20
9.339730e+03     1.497028e-19
9.342360e+03     1.527752e-19
9.345000e+03     1.048238e-19
9.347600e+03     1.888284e-19
9.351190e+03     1.729987e-19
9.353740e+03     1.573961e-19
9.356310e+03     1.955454e-19
9.358850e+03     2.021000e-19
9.361960e+03     1.913862e-19
9.364570e+03     1.662863e-19
9.367200e+03     1.712428e-19
9.369830e+03     1.712423e-19
9.372440e+03     2.014597e-19
9.376010e+03     2.177710e-19
9.378560e+03     1.918681e-19
9.381110e+03     2.235263e-19
9.384170e+03     1.861102e-19
9.386780e+03     2.068975e-19
9.389410e+03     2.395150e-19
9.392020e+03     2.609393e-19
9.394640e+03     2.452708e-19
9.398250e+03     2.786875e-19
9.400790e+03     2.804468e-19
9.403350e+03     2.734115e-19
9.405890e+03     2.847614e-19
9.408980e+03     2.307208e-19
9.411590e+03     2.460702e-19
9.414200e+03     2.510246e-19
9.416820e+03     2.607804e-19
9.419440e+03     2.435113e-19
9.423010e+03     2.799665e-19
9.425540e+03     2.694126e-19
9.428090e+03     2.142520e-19
9.431130e+03     2.550249e-19
9.433740e+03     2.993126e-19
9.436370e+03     3.034687e-19
9.438980e+03     1.608484e-19
9.441580e+03     1.931458e-19
9.445180e+03     2.366377e-19
9.447710e+03     3.116243e-19
9.450260e+03     3.351288e-19
9.452800e+03     3.049075e-19
9.455890e+03     1.832340e-19
9.458500e+03     2.398354e-19
9.461130e+03     2.296011e-19
9.463730e+03     2.650970e-19
9.467320e+03     2.358366e-19
9.469870e+03     2.572617e-19
9.472410e+03     2.860417e-19
9.474940e+03     2.447910e-19
9.478010e+03     1.952248e-19
9.480620e+03     2.481467e-19
9.483220e+03     2.948373e-19
9.485860e+03     2.750094e-19
9.489450e+03     3.666271e-19
9.491990e+03     3.129029e-19
9.494510e+03     2.166490e-19
9.497040e+03     2.110525e-19
9.500110e+03     2.369552e-19
9.502710e+03     2.695731e-19
9.505350e+03     2.812456e-19
9.507930e+03     2.860408e-19
9.511560e+03     3.402440e-19
9.514080e+03     2.674950e-19
9.516610e+03     1.984242e-19
9.519140e+03     2.145699e-19
9.522210e+03     2.519848e-19
9.524810e+03     2.769285e-19
9.527420e+03     2.830057e-19
9.530020e+03     2.980322e-19
9.533610e+03     3.133829e-19
9.536120e+03     3.370464e-19
9.538660e+03     3.607090e-19
9.541170e+03     3.418436e-19
9.544250e+03     2.483080e-19
9.546850e+03     3.157805e-19
9.549460e+03     3.101869e-19
9.552060e+03     1.904288e-19
9.555630e+03     2.064171e-19
9.558130e+03     2.634961e-19
9.560680e+03     3.221782e-19
9.563190e+03     2.328004e-19
9.566280e+03     1.872292e-19
9.568890e+03     2.051382e-19
9.571470e+03     2.623793e-19
9.574100e+03     3.285723e-19
9.577610e+03     3.576733e-19
9.580140e+03     2.767670e-19
9.582640e+03     2.933969e-19
9.585690e+03     2.590206e-19
9.588290e+03     1.520561e-19
9.590870e+03     1.608490e-19
9.593500e+03     2.195269e-19
9.597040e+03     3.020313e-19
9.599580e+03     3.407250e-19
9.602090e+03     3.410444e-19
9.604580e+03     3.279331e-19
9.607700e+03     2.347178e-19
9.610270e+03     2.638161e-19
9.612850e+03     2.938753e-19
9.615460e+03     1.752379e-19
9.618980e+03     2.815642e-19
9.621490e+03     3.149806e-19
9.624020e+03     3.031498e-19
9.627050e+03     3.743003e-19
9.629620e+03     3.677445e-19
9.632220e+03     4.459325e-19
9.634830e+03     2.817237e-19
9.638350e+03     2.340793e-19
9.640870e+03     2.532644e-19
9.643390e+03     3.207373e-19
9.645890e+03     3.669464e-19
9.648970e+03     3.439209e-19
9.651550e+03     2.994725e-19
9.654150e+03     2.932384e-19
9.657730e+03     3.970063e-19
9.660210e+03     4.043616e-19
9.662700e+03     3.319309e-19
9.665220e+03     2.612581e-19
9.668310e+03     2.567807e-19
9.670890e+03     4.097965e-19
9.673460e+03     5.159621e-19
9.677020e+03     5.026906e-19
9.679510e+03     3.792582e-19
9.682020e+03     3.928485e-19
9.684550e+03     4.470493e-19
9.687600e+03     3.442406e-19
9.690180e+03     3.167406e-19
9.692750e+03     2.697320e-19
9.696310e+03     3.188179e-19
9.698800e+03     4.121932e-19
9.701290e+03     4.994937e-19
9.703780e+03     4.983746e-19
9.706840e+03     4.105943e-19
9.709440e+03     3.923691e-19
9.712040e+03     3.762197e-19
9.715610e+03     4.201881e-19
9.718090e+03     4.251447e-19
9.720580e+03     3.747816e-19
9.723070e+03     3.412040e-19
9.726110e+03     3.375269e-19
9.728690e+03     3.808562e-19
9.731270e+03     4.687961e-19
9.733840e+03     4.643182e-19
9.737040e+03     3.555931e-19
9.739790e+03     3.765407e-19
9.742540e+03     3.491970e-19
9.745290e+03     3.679053e-19
9.748040e+03     3.674264e-19
9.750790e+03     3.025108e-19
9.753540e+03     2.877999e-19
9.756290e+03     3.268152e-19
9.759040e+03     3.635893e-19
9.761790e+03     3.766985e-19
9.764530e+03     4.171518e-19
9.767280e+03     4.574424e-19
9.770030e+03     4.954985e-19
9.772780e+03     3.912483e-19
9.775530e+03     3.672671e-19
9.778280e+03     3.599118e-19
9.781030e+03     3.429632e-19
9.783780e+03     4.064387e-19
9.786530e+03     4.230661e-19
9.789280e+03     4.078780e-19
9.792010e+03     3.202580e-19
9.794760e+03     4.129933e-19
9.797510e+03     4.118746e-19
9.800260e+03     3.650289e-19
9.803010e+03     3.655073e-19
9.805760e+03     3.968458e-19
9.808500e+03     4.072377e-19
9.811240e+03     3.696656e-19
9.813990e+03     2.989944e-19
9.816740e+03     3.691831e-19
9.819490e+03     4.528054e-19
9.822220e+03     4.262649e-19
9.824970e+03     4.363372e-19
9.827720e+03     5.090887e-19
9.830470e+03     4.684751e-19
9.833210e+03     4.280224e-19
9.835960e+03     4.441725e-19
9.838690e+03     5.354682e-19
9.841440e+03     4.497695e-19
9.844190e+03     3.979638e-19
9.846920e+03     3.746222e-19
9.849670e+03     4.305825e-19
9.852420e+03     4.331402e-19
9.855150e+03     5.050920e-19
9.857900e+03     4.462512e-19
9.860650e+03     4.695954e-19
9.863380e+03     5.121259e-19
9.866120e+03     4.852656e-19
9.868870e+03     3.063471e-19
9.871610e+03     2.006622e-19
9.874350e+03     4.974169e-19
9.877100e+03     4.812679e-19
9.879830e+03     4.734312e-19
9.882580e+03     5.167621e-19
9.885310e+03     5.252355e-19
9.888060e+03     5.354696e-19
9.890790e+03     4.827069e-19
9.893530e+03     4.606416e-19
9.896280e+03     5.158037e-19
9.899010e+03     5.644086e-19
9.901760e+03     5.776805e-19
9.904490e+03     5.744833e-19
9.907240e+03     5.420238e-19
9.909970e+03     5.295543e-19
9.912710e+03     4.660763e-19
9.915450e+03     5.076486e-19
9.918190e+03     5.172423e-19
9.920920e+03     5.134031e-19
9.923660e+03     5.597724e-19
9.926400e+03     5.063680e-19
9.929130e+03     4.619209e-19
9.931880e+03     5.026911e-19
9.934610e+03     4.843052e-19
9.937350e+03     5.025325e-19
9.940080e+03     4.982150e-19
9.942820e+03     6.032624e-19
9.945550e+03     5.637698e-19
9.948290e+03     6.218102e-19
9.951030e+03     5.655286e-19
9.953760e+03     4.849428e-19
9.956490e+03     5.293925e-19
9.959230e+03     6.649787e-19
9.961960e+03     6.235698e-19
9.964700e+03     5.717646e-19
9.967430e+03     5.770399e-19
9.970170e+03     5.882314e-19
9.972900e+03     6.314019e-19
9.975630e+03     6.432333e-19
9.978360e+03     5.688874e-19
9.981100e+03     5.578530e-19
9.983830e+03     6.067801e-19
9.986560e+03     5.819976e-19
9.989290e+03     5.664865e-19
9.992020e+03     6.461123e-19
1.002552e+04     7.423388e-19
1.007713e+04     7.878589e-19
1.012873e+04     8.494034e-19
1.018031e+04     9.459578e-19
1.023187e+04     9.873570e-19
1.028342e+04     1.079694e-18
1.033494e+04     1.211054e-18
1.038646e+04     1.281508e-18
1.043795e+04     1.341811e-18
1.048944e+04     1.410487e-18
1.054090e+04     1.429626e-18
1.059235e+04     1.527629e-18
1.064378e+04     1.597730e-18
1.069519e+04     1.627897e-18
1.074659e+04     1.648380e-18
1.079797e+04     1.491915e-18
1.084933e+04     1.208003e-18
1.090068e+04     8.533799e-19
1.095201e+04     5.978503e-19
1.100333e+04     3.783890e-19
1.105462e+04     2.927037e-19
1.110591e+04     1.966861e-19
1.115717e+04     1.850209e-19
1.120842e+04     2.048099e-19
1.156669e+04     9.550278e-20
1.161781e+04     1.048947e-19
1.166891e+04     1.395796e-19
1.171999e+04     1.886780e-19
1.177105e+04     2.545229e-19
1.182210e+04     3.227270e-19
1.187314e+04     4.117091e-19
1.192415e+04     5.122868e-19
1.197515e+04     6.187648e-19
1.202613e+04     7.375820e-19
1.207710e+04     8.284354e-19
1.212805e+04     9.490704e-19
1.217898e+04     1.094310e-18
1.222990e+04     1.174799e-18
1.228080e+04     1.321716e-18
1.233168e+04     1.428024e-18
1.238255e+04     1.556713e-18
1.243340e+04     1.655340e-18
1.248423e+04     1.765393e-18
1.253505e+04     1.916131e-18
1.258585e+04     1.977274e-18
1.263664e+04     2.006276e-18
1.268740e+04     1.957064e-18
1.273815e+04     1.905779e-18
1.278889e+04     1.795538e-18
1.283960e+04     1.617612e-18
1.289031e+04     1.441778e-18
1.294099e+04     1.245563e-18
1.299166e+04     1.199287e-18
1.304231e+04     1.034460e-18
1.309294e+04     9.282292e-19
1.314356e+04     7.756509e-19
1.319416e+04     6.242201e-19
1.324475e+04     4.165893e-19
1.329532e+04     1.873288e-19
1.402980e+04     1.655204e-19
1.409225e+04     1.535604e-19
1.415469e+04     1.278787e-19
1.421711e+04     1.643380e-19
1.427952e+04     1.516586e-19
1.434191e+04     1.472506e-19
1.440428e+04     1.593464e-19
1.446664e+04     1.724034e-19
1.452899e+04     1.694116e-19
1.459132e+04     1.766834e-19
1.465363e+04     1.852404e-19
1.471593e+04     1.885012e-19
1.477821e+04     1.977148e-19
1.484048e+04     2.143496e-19
1.490274e+04     2.296192e-19
1.496498e+04     2.447047e-19
1.502720e+04     2.756519e-19
1.508941e+04     3.018264e-19
1.515160e+04     3.311376e-19
1.521378e+04     3.823477e-19
1.527594e+04     4.363567e-19
1.533809e+04     4.877558e-19
1.540022e+04     5.412581e-19
1.546234e+04     5.981393e-19
1.552444e+04     6.519754e-19
1.558653e+04     7.060280e-19
1.564860e+04     7.556788e-19
1.571066e+04     7.779719e-19
1.577270e+04     7.773890e-19
1.583473e+04     7.509307e-19
1.589674e+04     6.684280e-19
1.595873e+04     5.789945e-19
1.602072e+04     4.444043e-19
1.608268e+04     3.299539e-19
1.614463e+04     2.433578e-19
1.620657e+04     2.015282e-19
1.626849e+04     1.807633e-19
1.633039e+04     1.739816e-19
1.639228e+04     1.821938e-19
1.645416e+04     1.834304e-19
1.651602e+04     1.829997e-19
1.657786e+04     1.718498e-19
1.663969e+04     1.604329e-19
1.670151e+04     1.402974e-19
1.676331e+04     1.487726e-19
1.682509e+04     1.566170e-19
1.688686e+04     1.605668e-19
1.694861e+04     1.515528e-19
1.701035e+04     1.438424e-19
1.707207e+04     1.431211e-19
1.713378e+04     1.501810e-19
1.719547e+04     1.580681e-19
1.725715e+04     1.588972e-19
1.731881e+04     1.502915e-19
1.738046e+04     1.418981e-19
1.744210e+04     1.346848e-19
1.750371e+04     1.343088e-19
1.756531e+04     1.296344e-19
1.762690e+04     1.224208e-19
1.768847e+04     1.201385e-19
1.775003e+04     1.127735e-19
1.781157e+04     1.038197e-19
1.787310e+04     1.055874e-19
1.793461e+04     1.006515e-19
1.799610e+04     9.959740e-20
1.805758e+04     1.058976e-19
1.811905e+04     1.131048e-19
1.818050e+04     1.107914e-19
1.824194e+04     1.137509e-19
1.830336e+04     1.160215e-19
1.836476e+04     1.172736e-19
1.842615e+04     1.157721e-19
1.848752e+04     1.099104e-19
1.854888e+04     1.152088e-19
1.861023e+04     1.216047e-19
1.867156e+04     1.231487e-19
1.873287e+04     1.186140e-19
1.879417e+04     1.171812e-19
1.885545e+04     1.300204e-19
1.891672e+04     1.342029e-19
1.897798e+04     1.301490e-19
1.903921e+04     1.355582e-19
1.910044e+04     1.370743e-19
1.916165e+04     1.270250e-19
1.922284e+04     1.136026e-19
2.001696e+04     1.367013e-19
2.007794e+04     1.507218e-19
2.013891e+04     1.481305e-19
2.019986e+04     1.523905e-19
2.026079e+04     1.651738e-19
2.032171e+04     1.759081e-19
2.038262e+04     1.909805e-19
2.044351e+04     2.060272e-19
2.050438e+04     2.181329e-19
2.056524e+04     2.215179e-19
2.062609e+04     2.250313e-19
2.068691e+04     2.299112e-19
2.074773e+04     2.307904e-19
2.080853e+04     2.305265e-19
2.086931e+04     2.358530e-19
2.093008e+04     2.327759e-19
2.099083e+04     2.316523e-19
2.105157e+04     2.259359e-19
2.111229e+04     2.164803e-19
2.117300e+04     2.116723e-19
2.123369e+04     1.877969e-19
2.129437e+04     1.894335e-19
2.135503e+04     1.784448e-19
2.141568e+04     1.698640e-19
2.147631e+04     1.663369e-19
2.153693e+04     1.512247e-19
2.159753e+04     1.398741e-19
